[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /home/cheng/Desktop/CIS530/CIS537/PyTorch_tutorial
[NotebookApp | INFO] The Jupyter Notebook is running at:
[NotebookApp | INFO] http://localhost:8888/?token=7a43b8bd1201b8c7623226c28d4fe6ed8d6d5f0a2622cae5
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[NotebookApp | CRITICAL] 
    
    To access the notebook, open this file in a browser:
        file:///run/user/1000/jupyter/nbserver-3963-open.html
    Or copy and paste one of these URLs:
        http://localhost:8888/?token=7a43b8bd1201b8c7623226c28d4fe6ed8d6d5f0a2622cae5
[NotebookApp | INFO] Creating new notebook in 
[NotebookApp | INFO] Kernel started: 0e43aad4-20cc-4f60-98b9-c4e188af1a0b
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 0e43aad4-20cc-4f60-98b9-c4e188af1a0b
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Creating new file in 
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /helper.py
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /helper.py
[NotebookApp | INFO] Saving file at /helper.py
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /helper.py
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 0e43aad4-20cc-4f60-98b9-c4e188af1a0b
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /helper.py
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /helper.py
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /helper.py
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /helper.py
[NotebookApp | INFO] Saving file at /helper.py
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /helper.py
[NotebookApp | INFO] Saving file at /helper.py
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /helper.py
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Saving file at /helper.py
[NotebookApp | INFO] Saving file at /PyTorch Tutorial.ipynb
[NotebookApp | INFO] Starting buffering for 0e43aad4-20cc-4f60-98b9-c4e188af1a0b:2d7b971684c64ddaa94a1121f3df4f3d
[NotebookApp | INFO] Kernel restarted: 0e43aad4-20cc-4f60-98b9-c4e188af1a0b
